名  称,类别,最大占比,相似或相克,水分（克）,能量(千卡）,蛋白质（克）,脂肪（克）,碳水化物（克）,膳食纤维（克）,胆固醇（毫克）,维生素A（μg）,维生素B1（毫克）,维生素B2（毫克）,烟酸（毫克）,维生素C（毫克）,维生素E（毫克）,钙（毫克）,磷（毫克）,钾（毫克）,钠（毫克）,镁（毫克）,铁（毫克）,锌（毫克）,硒（μg）,铜（毫克）,锰（毫克）
生菜（叶用莴苣）,蔬菜,1,,96.7,12,1.6,0.4,1.1,0.7,0,2,0.02,0.01,0.4,13,1.02,14,12,91,16.1,7,0.2,0.12,0.04,0.01,0.06
韭菜,蔬菜,1,韭菜_韭芽（韭黄）_青蒜_蒜黄,92,25,2.4,0.4,4.5,0,0,133,0.04,0.05,0.86,2,0.57,44,45,241,5.8,24,0.7,0.25,1.33,0.05,0.21
韭芽（韭黄）,蔬菜,1,韭菜_韭芽（韭黄）_青蒜_蒜黄,93.2,24,2.3,0.2,3.9,1.2,0,22,0.03,0.05,0.7,15,0.34,25,48,192,6.9,12,1.7,0.33,0.76,0.1,0.17
青蒜,蔬菜,1,韭菜_韭芽（韭黄）_青蒜_蒜黄,90.4,34,2.4,0.3,6.2,1.7,0,49,0.06,0.04,0.6,16,0.8,24,25,168,9.3,17,0.8,0.23,1.27,0.05,0.15
蒜黄,蔬菜,1,韭菜_韭芽（韭黄）_青蒜_蒜黄,93,23.8,2.5,0.2,3.8,1.4,0,23,0.05,0.07,0.6,18,0.53,24,58,168,7.8,16,1.3,0.33,0.79,0.09,0.25
香菜（芫荽，香荽）,蔬菜,1,,90.5,33.4,1.8,0.4,6.2,1.2,0,96.5,0.04,0.14,2.2,48,0.8,101,49,272,48.5,33,2.9,0.45,0.53,0.21,0.28
竹笋,蔬菜,1,竹笋_竹笋（春笋）_冬笋,92.8,22.6,2.6,0.2,3.6,1.8,0,0,0.08,0.08,0.6,5,0.05,9,64,389,0.4,1,0.5,0.33,0.04,0.09,1.14
竹笋（春笋）,蔬菜,1,竹笋_竹笋（春笋）_冬笋,91.4,25,2.4,0.1,5.1,2.8,0,2.5,0.05,0.04,0.4,5,0,8,36,300,6,8,2.4,0.43,0.66,0.15,0.78
冬笋,蔬菜,1,竹笋_竹笋（春笋）_冬笋,88.1,42,4.1,0.1,6.5,0.8,0,7,0.08,0.08,0.6,1,0,22,56,0,0,0,0.1,0,0,0,0
牛肉（肥瘦）,牛肉,1,牛肉（肥瘦）_牛肉（后腱）_牛肉（后腿）_牛肉（前腱）_牛肉（前腿）_牛肉（瘦）_牛肉（里脊）_牛肉（五花，肋条）,68.1,190,18.1,13.4,0,0,84,4.5,0.03,0.11,7.4,0,0.22,8,168,216,57.4,20,3.2,4.73,6.45,0.18,0.04
牛肉（后腱）,牛肉,1,牛肉（肥瘦）_牛肉（后腱）_牛肉（后腿）_牛肉（前腱）_牛肉（前腿）_牛肉（瘦）_牛肉（里脊）_牛肉（五花，肋条）,78.1,93,18,1.8,1.1,0,58,1.5,0.02,0.18,3.7,0,0.74,6,195,182,70.6,20,2.3,3.93,3.82,0.1,0.04
